                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72156,                 1.1159,                0.79162,                0.00104,                0.09439,                  0.001,                0.00026,                0.66246,                 6.0637,                0.51874,                 0.0892,                 0.0012,                 0.0012
                      1,                0.83756,                 1.0386,                 0.7913,                0.00323,                0.10329,                0.00222,                0.00076,                 0.6966,                  5.288,                0.51764,               0.077475,              0.0024753,              0.0024753
                      2,                0.92424,                  1.062,                0.79793,                0.00557,                0.09083,                0.00338,                0.00128,                 1.0152,                 4.5521,                0.53079,               0.065725,              0.0037248,              0.0037248
                      3,                 1.0238,                    1.2,                0.80165,                0.00712,                0.10686,                0.00436,                0.00156,                0.89288,                   3.64,                 0.5245,               0.053949,              0.0049485,              0.0049485
                      4,                 1.0943,                 1.1333,                 0.8126,                0.07165,                0.02493,                0.00776,                 0.0025,                0.99448,                 4.0977,                0.53655,               0.042147,              0.0061466,              0.0061466
                      5,                 1.0898,                  1.211,                0.81654,                    0.1,                0.07213,                0.01384,                0.00432,                 1.1553,                 2.0994,                0.54689,               0.030319,              0.0073188,              0.0073188
                      6,                 1.1769,                 1.1913,                0.83081,                0.07325,                0.06055,                0.00696,                0.00183,                  1.183,                 2.2295,                0.55324,               0.018465,              0.0084654,              0.0084654
