                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.94171,                 1.2431,                0.88586,                0.86192,                 0.8626,                 0.8476,                0.59819,                0.89043,                 2.8771,                0.58905,               0.070073,              0.0033252,              0.0033252
                      1,                0.93177,                 1.2512,                0.88488,                0.86307,                 0.8604,                 0.8411,                0.59557,                0.87498,                 2.7711,                0.58097,               0.040018,              0.0066036,              0.0066036
                      2,                0.96549,                 1.2588,                0.89122,                0.85974,                0.85685,                0.84606,                0.58896,                0.89502,                 2.6867,                0.58401,              0.0099083,               0.009827,               0.009827
                      3,                0.99225,                    1.3,                0.90319,                0.85804,                0.86223,                0.84775,                0.59423,                0.89482,                 2.8686,                0.59316,              0.0097525,              0.0097525,              0.0097525
                      4,                0.98869,                 1.2867,                0.90422,                0.85715,                0.85668,                0.84206,                 0.5706,                0.96191,                 2.8715,                0.60032,              0.0097525,              0.0097525,              0.0097525
                      5,                0.99039,                 1.3144,                0.90658,                0.86098,                0.85973,                0.84231,                0.60204,                0.88222,                 2.7726,                 0.5872,                0.00967,                0.00967,                0.00967
                      6,                0.98115,                 1.3165,                0.90629,                0.85607,                0.86103,                0.84416,                0.59301,                0.90197,                 3.0524,                0.60587,              0.0095875,              0.0095875,              0.0095875
                      7,                0.97392,                 1.2973,                0.90058,                0.85706,                0.86311,                 0.8424,                0.60178,                0.87532,                 2.8508,                0.59075,               0.009505,               0.009505,               0.009505
                      8,                0.96151,                 1.3072,                0.89922,                0.86335,                0.86602,                0.84888,                0.61662,                0.85558,                 2.8515,                0.58478,              0.0094225,              0.0094225,              0.0094225
                      9,                  0.958,                 1.3246,                0.90196,                0.85737,                0.87116,                0.85337,                0.60315,                0.89164,                  3.044,                0.60557,                0.00934,                0.00934,                0.00934
                     10,                0.94837,                 1.3131,                 0.8971,                0.86237,                0.86551,                0.84749,                0.61338,                0.83219,                  3.016,                0.59537,              0.0092575,              0.0092575,              0.0092575
                     11,                0.94966,                 1.2936,                0.89797,                0.86169,                0.85804,                 0.8373,                0.61008,                0.83464,                 2.8926,                0.58779,               0.009175,               0.009175,               0.009175
                     12,                0.93489,                 1.3014,                0.89667,                0.85885,                0.86612,                 0.8371,                0.61262,                0.83309,                 2.8823,                0.58499,              0.0090925,              0.0090925,              0.0090925
                     13,                0.93026,                 1.3103,                0.89465,                0.85983,                0.87194,                0.84936,                 0.6201,                 0.8353,                 3.0353,                0.60004,                0.00901,                0.00901,                0.00901
                     14,                0.92531,                 1.3205,                0.89582,                 0.8582,                0.86882,                0.84032,                0.61177,                0.86255,                 2.9344,                0.58916,              0.0089275,              0.0089275,              0.0089275
                     15,                0.92013,                 1.3196,                0.89512,                0.86242,                0.86861,                0.84638,                0.61984,                0.80677,                 2.9617,                0.59043,               0.008845,               0.008845,               0.008845
                     16,                0.90619,                 1.3191,                 0.8917,                0.86109,                0.87158,                0.84475,                0.62391,                0.81177,                 2.9212,                0.58611,              0.0087625,              0.0087625,              0.0087625
                     17,                0.90465,                 1.3044,                0.88761,                0.86118,                0.86809,                0.84274,                0.62488,                0.80517,                 2.7422,                0.57561,                0.00868,                0.00868,                0.00868
                     18,                 0.9002,                 1.3033,                 0.8887,                0.86436,                0.86991,                0.83997,                0.61761,                0.82749,                 2.8168,                0.57937,              0.0085975,              0.0085975,              0.0085975
                     19,                0.89447,                 1.2856,                0.88587,                0.86375,                0.87023,                0.84609,                  0.633,                0.76477,                 3.0094,                0.58743,               0.008515,               0.008515,               0.008515
                     20,                0.88545,                 1.2905,                0.88549,                  0.865,                0.87348,                 0.8468,                0.62987,                0.79827,                 2.9339,                0.58515,              0.0084325,              0.0084325,              0.0084325
                     21,                0.88039,                 1.2889,                 0.8831,                0.86414,                0.86964,                0.84364,                0.63918,                0.77195,                 2.8632,                0.57469,                0.00835,                0.00835,                0.00835
