                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3525,                 1.9232,                 1.0026,                0.76491,                0.77262,                 0.7501,                 0.4184,                 1.1859,                 3.0737,                0.63659,               0.070073,              0.0033252,              0.0033252
                      1,                 1.2758,                 1.4417,                 0.9652,                0.81216,                0.82485,                0.79222,                0.44177,                 1.1604,                 2.9966,                0.63332,               0.040018,              0.0066036,              0.0066036
                      2,                 1.2834,                 1.4011,                0.96505,                0.81441,                0.82729,                0.80188,                0.45238,                 1.1772,                 2.9616,                 0.6301,              0.0099083,               0.009827,               0.009827
                      3,                 1.2903,                 1.3717,                0.96034,                0.82842,                0.82871,                0.80553,                0.46495,                 1.1487,                 2.9425,                 0.6321,              0.0097525,              0.0097525,              0.0097525
                      4,                 1.2599,                 1.3297,                0.94724,                0.82804,                0.83806,                0.80655,                0.46665,                 1.1654,                 2.8182,                0.62578,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.2457,                  1.327,                0.94274,                0.82983,                0.84265,                0.81283,                0.48249,                 1.1516,                 2.8396,                0.62535,                0.00967,                0.00967,                0.00967
                      6,                 1.2207,                 1.3162,                 0.9385,                 0.8312,                0.84736,                 0.8235,                0.50493,                 1.1356,                 2.8191,                0.62321,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.2063,                 1.3164,                0.93591,                0.84273,                0.84566,                0.82262,                  0.514,                 1.0788,                 2.9227,                 0.6185,               0.009505,               0.009505,               0.009505
                      8,                 1.1865,                 1.3113,                0.93319,                0.84211,                0.84925,                0.83957,                0.52753,                  1.082,                 2.9063,                0.62296,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.1729,                 1.3206,                0.93285,                0.84737,                0.85289,                0.83058,                0.52206,                 1.0479,                 3.0718,                0.63025,                0.00934,                0.00934,                0.00934
                     10,                 1.1621,                 1.3242,                0.93092,                 0.8429,                0.84837,                0.83584,                0.53072,                 1.0371,                 2.9229,                0.61794,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.1493,                 1.3214,                0.92861,                0.84252,                0.85276,                0.83713,                 0.5296,                 1.0366,                 3.0004,                0.62172,               0.009175,               0.009175,               0.009175
                     12,                 1.1346,                  1.329,                0.92955,                0.84502,                0.85439,                 0.8355,                0.53227,                   1.04,                 2.8138,                0.60789,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.1223,                 1.3307,                0.92735,                0.85085,                0.85446,                0.84252,                0.54115,                 1.0226,                 2.9577,                0.61866,                0.00901,                0.00901,                0.00901
                     14,                 1.1142,                 1.3235,                0.92564,                0.85017,                0.85216,                0.83832,                0.53809,                 1.0331,                 2.8648,                0.61162,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.0996,                 1.3261,                0.92337,                0.85048,                0.85526,                0.83728,                0.54164,                 1.0029,                 3.0382,                0.62221,               0.008845,               0.008845,               0.008845
                     16,                 1.0837,                 1.3169,                0.91935,                0.84763,                0.86461,                0.85045,                0.56563,                0.95758,                 3.1421,                 0.6246,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.0775,                 1.3177,                0.91575,                0.85529,                0.86225,                0.83738,                0.55295,                0.98234,                 2.9492,                0.61039,                0.00868,                0.00868,                0.00868
                     18,                  1.066,                 1.3194,                0.91826,                0.85433,                0.86173,                0.84218,                0.55984,                0.96337,                 2.8632,                0.60258,              0.0085975,              0.0085975,              0.0085975
                     19,                 1.0584,                  1.317,                0.91608,                 0.8571,                0.86384,                0.84058,                0.57272,                0.93916,                 2.9838,                0.60695,               0.008515,               0.008515,               0.008515
                     20,                 1.0447,                 1.3151,                0.91525,                0.85726,                0.86227,                 0.8433,                0.57131,                0.95242,                 2.9082,                0.60205,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.0393,                 1.3092,                 0.9136,                0.85415,                0.86214,                0.84043,                0.57446,                0.94996,                 2.8201,                0.59716,                0.00835,                0.00835,                0.00835
                     22,                 1.0194,                 1.2974,                0.90478,                0.85025,                0.86646,                0.85292,                0.59039,                0.90036,                 3.0785,                0.60728,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.0138,                  1.297,                0.90747,                0.85224,                0.85943,                 0.8421,                0.58734,                 0.8947,                 2.5828,                0.57987,               0.008185,               0.008185,               0.008185
                     24,                 1.0039,                 1.2854,                0.90514,                 0.8592,                 0.8551,                0.83984,                0.58481,                0.91467,                  2.943,                0.60264,              0.0081025,              0.0081025,              0.0081025
                     25,                0.99351,                  1.288,                0.90405,                0.85756,                0.86201,                   0.84,                0.56967,                0.95906,                 3.0074,                0.60964,                0.00802,                0.00802,                0.00802
