                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0599,                0.82456,                0.81641,                0.49781,                0.52632,                0.38242,                0.23825,                0.95798,                 1.5555,                0.55281,               0.006634,               0.006634,               0.006634
                     36,                 1.0692,                0.82278,                 0.8265,                 0.5314,                0.52982,                0.40425,                0.23624,                0.98998,                 1.5756,                0.55406,               0.006535,               0.006535,               0.006535
                     37,                  1.072,                0.82572,                0.82229,                0.52666,                0.55439,                0.40897,                0.25124,                 0.9474,                 1.5728,                0.54788,               0.006436,               0.006436,               0.006436
                     38,                 1.0378,                0.81822,                0.81871,                0.54482,                 0.5614,                0.43421,                0.25704,                 1.0145,                 1.6711,                0.55293,               0.006337,               0.006337,               0.006337
                     39,                 1.0789,                0.82159,                0.81664,                0.49333,                0.50905,                0.34447,                0.19883,                 1.0024,                    1.6,                0.55315,               0.006238,               0.006238,               0.006238
                     40,                  1.052,                0.80957,                0.81304,                0.48769,                0.51579,                0.33418,                0.18865,                0.96191,                 1.5743,                0.55164,               0.006139,               0.006139,               0.006139
                     41,                 1.0486,                0.81273,                0.81752,                0.49086,                0.52095,                0.33675,                0.19771,                 0.9308,                 1.5379,                0.55243,                0.00604,                0.00604,                0.00604
                     42,                 1.0254,                0.80149,                0.81783,                0.49638,                0.50526,                 0.3468,                0.20432,                0.95531,                 1.5934,                0.55068,               0.005941,               0.005941,               0.005941
                     43,                0.99425,                0.81803,                0.81371,                0.54358,                0.58921,                0.46745,                0.29462,                0.97287,                 1.6386,                0.55209,               0.005842,               0.005842,               0.005842
                     44,                 1.0243,                0.79688,                0.81091,                0.57063,                0.60702,                0.49346,                0.32505,                0.96218,                 1.6938,                0.55054,               0.005743,               0.005743,               0.005743
                     45,                 1.0085,                0.80574,                0.81863,                0.51253,                0.56491,                 0.4187,                0.26336,                0.89381,                 1.6014,                0.54486,               0.005644,               0.005644,               0.005644
                     46,                 1.0379,                0.79862,                0.81559,                0.52023,                0.55789,                0.41138,                0.26293,                0.88502,                 1.5779,                0.54776,               0.005545,               0.005545,               0.005545
